Topic ID,CLD Score,,,,,,,
33,0.007,,,,,,,
1030,0.007,,,,,,,
1978,0.007,,,,,,,
986,0.007,,,,,,,
1873,0.007,,,,,,,
1429,0.007,,,,,,,
1814,0.007,,,,,,,
122,0.007,,,,,,,
1170,0.007,,,,,,,
1350,0.007,,,,,,,
1129,0.007,,,,,,,
206,0.007,,,,,,,
162,0.007,,,,,,,
397,0.007,,,,,,,
1081,0.007,,,,,,,
883,0.007,,,,,,,
234,0.007,,,,,,,
1096,0.007,,,,,,,
184,0.007,,,,,,,
917,0.007,,,,,,,
604,0.007,,,,,,,
608,0.007,,,,,,,
363,0.007,,,,,,,
1021,0.007,,,,,,,
388,0.007,,,,,,,
1109,0.007,,,,,,,
1094,0.007,,,,,,,
860,0.007,,,,,,,
473,0.007,,,,,,,
837,0.006,,,,,,,
779,0.006,,,,,,,
1086,0.006,,,,,,,
1150,0.006,,,,,,,
287,0.006,,,,,,,
1208,0.006,,,,,,,
1414,0.006,,,,,,,
1025,0.006,,,,,,,
1450,0.006,,,,,,,
248,0.006,,,,,,,
1585,0.006,,,,,,,
1460,0.006,,,,,,,
1552,0.006,,,,,,,
1822,0.006,,,,,,,
10,0.006,,,,,,,
93,0.006,,,,,,,
331,0.006,,,,,,,
1984,0.006,,,,,,,
349,0.006,,,,,,,
320,0.006,,,,,,,
1996,0.006,,,,,,,
1088,0.006,,,,,,,
1262,0.006,,,,,,,
1558,0.006,,,,,,,
621,0.006,,,,,,,
1153,0.006,,,,,,,
1765,0.006,,,,,,,
1346,0.006,,,,,,,
1509,0.006,,,,,,,
165,0.006,,,,,,,
985,0.006,,,,,,,
1249,0.006,,,,,,,
1951,0.006,,,,,,,
1791,0.006,,,,,,,
960,0.006,,,,,,,
537,0.006,,,,,,,
1446,0.006,,,,,,,
1422,0.005,,,,,,,
1374,0.005,,,,,,,
1663,0.005,,,,,,,
1400,0.005,,,,,,,
1276,0.005,,,,,,,
219,0.005,,,,,,,
1182,0.005,,,,,,,
511,0.005,,,,,,,
778,0.005,,,,,,,
853,0.005,,,,,,,
412,0.005,,,,,,,
1540,0.005,,,,,,,
879,0.005,,,,,,,
545,0.005,,,,,,,
1522,0.005,,,,,,,
872,0.005,,,,,,,
1243,0.005,,,,,,,
1705,0.005,,,,,,,
1430,0.005,,,,,,,
1003,0.005,,,,,,,
858,0.005,,,,,,,
1726,0.005,,,,,,,
1564,0.005,,,,,,,
756,0.005,,,,,,,
60,0.005,,,,,,,
203,0.005,,,,,,,
865,0.005,,,,,,,
1785,0.005,,,,,,,
1103,0.005,,,,,,,
596,0.005,,,,,,,
1893,0.004,,,,,,,
1512,0.004,,,,,,,
1799,0.004,,,,,,,
463,0.004,,,,,,,
1267,0.004,,,,,,,
1925,0.004,,,,,,,
637,0.004,,,,,,,
682,0.004,,,,,,,
1026,0.004,,,,,,,
1064,0.004,,,,,,,
1319,0.004,,,,,,,
1660,0.004,,,,,,,
1325,0.004,,,,,,,
549,0.004,,,,,,,
1868,0.004,,,,,,,
953,0.004,,,,,,,
1557,0.004,,,,,,,
1658,0.004,,,,,,,
1702,0.004,,,,,,,
1352,0.004,,,,,,,
359,0.004,,,,,,,
1295,0.004,,,,,,,
1685,0.004,,,,,,,
180,0.004,,,,,,,
1737,0.004,,,,,,,
1954,0.004,,,,,,,
1784,0.004,,,,,,,
889,0.004,,,,,,,
1472,0.004,,,,,,,
1666,0.004,,,,,,,
409,0.004,,,,,,,
1413,0.004,,,,,,,
319,0.004,,,,,,,
140,0.004,,,,,,,
1761,0.004,,,,,,,
1014,0.004,,,,,,,
1573,0.004,,,,,,,
1,0.004,,,,,,,
1056,0.004,,,,,,,
934,0.004,,,,,,,
1567,0.003,,,,,,,
1768,0.003,,,,,,,
932,0.003,,,,,,,
1710,0.003,,,,,,,
1477,0.003,,,,,,,
1495,0.003,,,,,,,
1072,0.003,,,,,,,
1746,0.003,,,,,,,
1994,0.003,,,,,,,
1693,0.003,,,,,,,
1487,0.003,,,,,,,
724,0.003,,,,,,,
1161,0.003,,,,,,,
420,0.003,,,,,,,
961,0.003,,,,,,,
1654,0.003,,,,,,,
185,0.003,,,,,,,
1523,0.003,,,,,,,
374,0.003,,,,,,,
907,0.003,,,,,,,
848,0.003,,,,,,,
1454,0.003,,,,,,,
21,0.003,,,,,,,
770,0.003,,,,,,,
1100,0.003,,,,,,,
541,0.003,,,,,,,
1875,0.003,,,,,,,
897,0.003,,,,,,,
207,0.003,,,,,,,
988,0.003,,,,,,,
1164,0.003,,,,,,,
281,0.003,,,,,,,
228,0.003,,,,,,,
971,0.003,,,,,,,
1835,0.003,,,,,,,
942,0.003,,,,,,,
802,0.003,,,,,,,
303,0.003,,,,,,,
1582,0.002,,,,,,,
530,0.002,,,,,,,
721,0.002,,,,,,,
342,0.002,,,,,,,
124,0.002,,,,,,,
908,0.002,,,,,,,
1018,0.002,,,,,,,
1747,0.002,,,,,,,
1049,0.002,,,,,,,
1601,0.002,,,,,,,
919,0.002,,,,,,,
659,0.002,,,,,,,
211,0.002,,,,,,,
1002,0.002,,,,,,,
1932,0.002,,,,,,,
1676,0.002,,,,,,,
369,0.002,,,,,,,
1766,0.002,,,,,,,
1168,0.002,,,,,,,
1570,0.002,,,,,,,
1907,0.002,,,,,,,
1010,0.002,,,,,,,
626,0.002,,,,,,,
1316,0.002,,,,,,,
48,0.002,,,,,,,
265,0.002,,,,,,,
1877,0.002,,,,,,,
732,0.002,,,,,,,
1230,0.002,,,,,,,
1989,0.002,,,,,,,
1583,0.002,,,,,,,
273,0.002,,,,,,,
274,0.002,,,,,,,
745,0.002,,,,,,,
433,0.002,,,,,,,
1864,0.002,,,,,,,
1621,0.002,,,,,,,
1177,0.002,,,,,,,
1938,0.002,,,,,,,
1209,0.002,,,,,,,
547,0.001,,,,,,,
1366,0.001,,,,,,,
1649,0.001,,,,,,,
599,0.001,,,,,,,
238,0.001,,,,,,,
1709,0.001,,,,,,,
1205,0.001,,,,,,,
1891,0.001,,,,,,,
1438,0.001,,,,,,,
1123,0.001,,,,,,,
862,0.001,,,,,,,
1590,0.001,,,,,,,
1155,0.001,,,,,,,
1421,0.001,,,,,,,
90,0.001,,,,,,,
601,0.001,,,,,,,
552,0.001,,,,,,,
311,0.001,,,,,,,
1857,0.001,,,,,,,
900,0.001,,,,,,,
1239,0.001,,,,,,,
526,0.001,,,,,,,
898,0.001,,,,,,,
623,0.001,,,,,,,
1501,0.001,,,,,,,
1016,0.001,,,,,,,
544,0.001,,,,,,,
1019,0.001,,,,,,,
1755,0.001,,,,,,,
610,0.001,,,,,,,
1489,0.001,,,,,,,
684,0.001,,,,,,,
1982,0.001,,,,,,,
202,0.001,,,,,,,
79,0.001,,,,,,,
25,0.001,,,,,,,
1797,0.001,,,,,,,
609,0.001,,,,,,,
1139,0.001,,,,,,,
1507,0.001,,,,,,,
1271,0.001,,,,,,,
703,0.001,,,,,,,
1858,0.001,,,,,,,
424,0.001,,,,,,,
1661,0.001,,,,,,,
1132,0.001,,,,,,,
1282,0.001,,,,,,,
504,0,,,,,,,
1269,0,,,,,,,
677,0,,,,,,,
1070,0,,,,,,,
88,0,,,,,,,
1305,0,,,,,,,
337,0,,,,,,,
564,0,,,,,,,
1674,0,,,,,,,
1426,0,,,,,,,
1863,0,,,,,,,
454,0,,,,,,,
324,0,,,,,,,
18,0,,,,,,,
1076,0,,,,,,,
534,0,,,,,,,
365,0,,,,,,,
1575,0,,,,,,,
1433,0,,,,,,,
137,0,,,,,,,
1597,0,,,,,,,
1659,0,,,,,,,
869,0,,,,,,,
179,0,,,,,,,
1427,0,,,,,,,
1733,0,,,,,,,
441,0,,,,,,,
1491,0,,,,,,,
737,0,,,,,,,
1166,0,,,,,,,
1969,0,,,,,,,
1345,0,,,,,,,
1778,0,,,,,,,
